held_out_device,held_out_study,held_out_family,method,row_position,crossbar_size,requested_weight_bits,adc_bits,mapping_strategy,cost_proxy,actual_accuracy,predicted_accuracy,is_true_pareto,is_predicted_pareto
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,204,256,4,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,33.19,65.90994148138138,True,True
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,205,256,8,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,32.42,64.69935142537375,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,206,256,7,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,32.29,64.64780921786482,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,207,256,6,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,32.1,65.04420327549306,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,208,256,3,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,31.91,61.21350478899852,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,209,256,5,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,31.62,64.29334622088145,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,210,64,2,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,11.71,11.252623874649512,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,211,64,2,5,IDEALIZED_SINGLE_PAIR_ANALOG,1792.0,11.41,11.18584244502874,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,212,16,2,7,IDEALIZED_SINGLE_PAIR_ANALOG,102400.0,11.39,11.297206029696039,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,213,32,2,7,IDEALIZED_SINGLE_PAIR_ANALOG,26624.0,11.36,11.252860621693669,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,214,16,2,9,IDEALIZED_SINGLE_PAIR_ANALOG,409600.0,11.36,11.334441498331138,False,False
