device_id,study_id,technology_family,device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,device_state_count_status,parameter_source,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,accuracy,accuracy_loss,pareto_rank_by_cost,is_pareto_optimal,reference_best_accuracy,reference_cheapest_within_0p5pp
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,128,8,255,0,2,4,203264,16,16,256,41.08,55.150000000000006,2,True,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,4,15,0,2,5,203264,10,32,320,84.08,12.150000000000006,3,True,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,128,6,63,0,2,5,203264,16,32,512,89.24,6.990000000000009,4,True,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,7,127,0,2,6,203264,10,64,640,94.02,2.210000000000008,5,True,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,128,7,127,0,2,6,203264,16,64,1024,94.62,1.6099999999999994,6,True,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,6,63,0,2,7,203264,10,128,1280,96.03,0.2000000000000028,7,True,False,True
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,7,127,0,2,8,203264,10,256,2560,96.24,-0.0099999999999909,8,True,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,128,6,63,0,2,9,203264,16,512,8192,96.26,-0.0300000000000011,9,True,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,64,6,63,0,2,9,203264,56,512,28672,96.29,-0.0600000000000022,10,True,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,0.3010299956639812,0,0,ANALOG,NOT_REPORTED,normalized_from_ratio,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,64,6,63,0,2,10,203264,56,1024,57344,96.3,-0.0699999999999931,11,True,False,False
